[2024-07-23 21:24:42.118]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:24:42.144]	 Already installed "tmux-menus"
[2024-07-23 21:24:42.158]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:24:42.171]	 Updating all plugins!
[2024-07-23 21:24:42.172]	 
[2024-07-23 21:24:42.617]	   "tmux-menus" update success
[2024-07-23 21:24:42.619]	     | Already up to date.
[2024-07-23 21:24:42.634]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:24:42.670]	 Done.

[2024-07-23 21:25:58.880]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:25:58.892]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:25:58.918]	 Already installed "tmux-menus"
[2024-07-23 21:25:58.933]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:25:58.947]	 Updating all plugins!
[2024-07-23 21:25:58.947]	 
[2024-07-23 21:25:59.406]	   "tmux-menus" update success
[2024-07-23 21:25:59.408]	     | Already up to date.
[2024-07-23 21:25:59.430]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:25:59.469]	 Done.

[2024-07-23 21:26:06.723]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:26:06.735]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:26:06.761]	 Already installed "tmux-menus"
[2024-07-23 21:26:06.774]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:26:06.786]	 Updating all plugins!
[2024-07-23 21:26:06.786]	 
[2024-07-23 21:26:07.232]	   "tmux-menus" update success
[2024-07-23 21:26:07.234]	     | Already up to date.
[2024-07-23 21:26:07.257]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:26:07.296]	 Done.

[2024-07-23 21:26:27.663]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:26:27.675]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:26:27.701]	 Already installed "tmux-menus"
[2024-07-23 21:26:27.713]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:26:27.725]	 Updating all plugins!
[2024-07-23 21:26:27.725]	 
[2024-07-23 21:26:28.154]	   "tmux-menus" update success
[2024-07-23 21:26:28.157]	     | Already up to date.
[2024-07-23 21:26:28.185]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:26:28.229]	 Done.

[2024-07-23 21:27:06.965]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:27:06.976]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:27:07.003]	 Already installed "tmux-menus"
[2024-07-23 21:27:07.020]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:27:07.036]	 Updating all plugins!
[2024-07-23 21:27:07.036]	 
[2024-07-23 21:27:07.514]	   "tmux-menus" update success
[2024-07-23 21:27:07.516]	     | Already up to date.
[2024-07-23 21:27:07.532]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:27:07.568]	 Done.

[2024-07-23 21:27:29.213]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:27:29.227]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:27:29.255]	 Already installed "tmux-menus"
[2024-07-23 21:27:29.270]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:27:29.285]	 Updating all plugins!
[2024-07-23 21:27:29.285]	 
[2024-07-23 21:27:29.732]	   "tmux-menus" update success
[2024-07-23 21:27:29.735]	     | Already up to date.
[2024-07-23 21:27:29.760]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:27:29.804]	 Done.

[2024-07-23 21:28:07.939]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:28:07.953]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:28:07.979]	 Already installed "tmux-menus"
[2024-07-23 21:28:07.991]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/update_plugins all
[2024-07-23 21:28:08.003]	 Updating all plugins!
[2024-07-23 21:28:08.003]	 
[2024-07-23 21:28:08.411]	   "tmux-menus" update success
[2024-07-23 21:28:08.414]	     | Already up to date.
[2024-07-23 21:28:08.437]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/clean_plugins all
[2024-07-23 21:28:08.474]	 Done.

[2024-07-23 21:28:29.170]	 List of discovered tpm plugins: jaclu/tmux-menus
[2024-07-23 21:28:29.182]	 Invoking /home/aaaa/.tmux/plugins/tpm/bin/install_plugins
[2024-07-23 21:28:29.208]	 Already installed "tmux-menus"
